actor,cast_ranking,character,episode_name
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Gordana Rashovich,Dean Winters,Michelle Hurd,Isabel Gillies,Elizabeth Ashley,Ned Eisenberg,Tina Benko,Ronald Guttman,Mark Zimmerman,Angie Harmon,Mili Avital,Leslie Hendrix,P.J. Brown,Ramsey Faragallah,Rebecca Creskoff,Angela Bullock,Mark Nelson,Jeremy Bergman,Matt Skollar,Irma St. Paule,Sevanne Kassarjian,Daniel Bess,Judy Del Giudice,Bill Driscoll,Vivian Nesbitt,Chris Orbach,Jesse Jesus Salazar,Frank Anello,Rohan Quine,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Anya Rugova,Brian Cassidy,Monique Jeffries,Kathy Stabler,Serena Benson,Jerry Kleinert,Mrs. Panacek,Gallery Owner,Mr. Dupree,Abbie Carmichael,Marta Stevens,Dr. Elizabeth Rodgers,Bremmer,Taxi Driver,Waitress,Prosecutor,Robert Stevens,Nicholas Stevens,Victor Spicer,Aunt Jashari,Ileana Jashari,Policeman,Judge,Mr. Kloster,Farley,Detective Ken Briscoe,Victim,NYPD Officer,Gallery Owner's assistant,Opening Announcer",Payback
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Dennis Boutsikaris,Laila Robins,Dean Winters,Paul Hecht,Michelle Hurd,Isabel Gillies,Michael Gaston,Matthew Arkin,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Angie Harmon,Michael Nouri,Leslie Hendrix,Walt MacPherson,Leslie Lyles,Liam Craig,Keenan Shimizu,Randy Lutterman,John Elsen,Lou Bonacki,Douglas McInnis,Virginia Louise Smith,Clyde Baldo,Julia Murney,Mike Wiggins,Cliff Thorn,Mary Hammett,Chris Orbach,Welly Yang,Andrew Boyer,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Dr. Mark Daniels,Ellen Travis,Brian Cassidy,Robert Sodarsky,Monique Jeffries,Kathy Stabler,Buddy,Mark Daniels' Brother & Attorney,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Abbie Carmichael,Dallas Warner,Dr. Elizabeth Rodgers,Detective Mourad,Dr. Chatman,Hawkins,Grocer,Neighbor,Policeman #1,Policeman #2,Trent Peterson,Page,Little Suit,Waitress,Waiter,Yuppie Guy,Yuppie Girl,Detective Ken Briscoe,Tech,Maitre D',NYPD Officer,Opening Announcer",A Single Life
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Bebe Neuwirth,Catherine Dent,Dean Winters,Ritchie Coster,Michelle Hurd,Isabel Gillies,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Damian Young,Todd Stashwick,Lianna Pai,Laura Poe,Michael Mastro,Peter Marx,Jerry Orbach,Jesse L. Martin,Carolyn McCormick,Rica Martens,Gary Howard Klar,Saidah Arrika Ekulona,Elizabeth Van Dyke,Ray Virta,Felix Solis,Rafael Ferrer,Frank Senger,Carl Palmer,Nancy McDoniel,Chris Orbach,Lawrence Woshner,Layla Alexander,Frank Anello,Rebecca Burr,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Nina Laszlo,Deborah Latrell,Brian Cassidy,Carlo Parisi,Monique Jeffries,Kathy Stabler,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Hampton Trill,Ricky Blaine,Assistant D.A.,Sue Burgess,Postal Medic,Tom Burgess,Lennie Briscoe,Ed Green,Dr. Elizabeth Olivet,Mrs. Johnson,Lt. Joey Poole,Dr. Lakhmajara,Attorney Harris,Schecter,Nick,Mooney,Pampas,EMT,Nurse,Ken Briscoe,Doctor Sullivan,Theresa Burgess,NYPD Officer,Host,Opening Announcer",...Or Just Look Like One
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Garrett M. Brown,Joe Lisi,Dean Winters,Michelle Hurd,Isabel Gillies,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Lisa Tharps,Frederick B. Owens,Jillian Bowen,Jerry Orbach,Brad Beyer,Leslie Hendrix,Lisa Summerour,Delphi Harrington,Gloria Sauve,Page Johnson,Redman Maxfield,Susan Willis,Dan Snook,Shantell Herndon,Selenis Leyva,Anne Kanengeiser,Katy Grenfell,Dana Lynn Mauro,Bridgit Antoinette Evans,Sondra James,David Newer,Irene Mazeski,Nashom Benjamin,Cashetta,Judy Del Giudice,James Coyle,Welly Yang,Tommy Gerard,Kimberly Reddrick,Jesse Jesus Salazar,Francesco Scorsone,Frank Anello,Samara Harris,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Officer Peter Ridley,Officer Sal D'Angelo,Brian Cassidy,Monique Jeffries,Kathy Stabler,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Prosecuting Attorney,John Henderson,Rose,Lennie Briscoe,Dennis Caufield,Dr. Elizabeth Rodgers,Mrs. Henderson,Evelyn Caulfield,Jacelyn Myers,Harry Rosen,Charles Caulfield,Mrs. Overton,Bill Griswold,Angel,Lorinda Gutierrez,Court Reporter,BJ,Maria,Tawana,Agnes Rosen,Defense Attorney,Candy,Chick,Lola,Judge,Forensics Tech,CSU Technician Georgie,Fredo Valenti,Tracy Henderson,Victim,Lawyer,NYPD Officer,Nurse,Opening Announcer",Hysteria
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Lynn Collins,John Dossett,Dean Winters,Michelle Hurd,Isabel Gillies,Henry Strozier,Lisa Tharps,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Patricia Richardson,William Westenberg,Marisa Redanty,Liza Lapira,Anne Hubbard,Kamal Marayati,Michael David Mantell,John Thrall Bush,Bruce Barney,Roxanne Raja,Francesco Scorsone,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Virginia Hayes,Tom Dayton,Brian Cassidy,Monique Jeffries,Kathy Stabler,Jon Freeman,Prosecuting Attorney,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Annabel Hayes,Ed Sostek,Dr. Ramsdale,Waitress,Allison LoGreco,Patel,Jimmy Delmonico,Tourist,Richard Schiller,Policewoman,Lawyer,NYPD Officer,Opening Announcer",Wanderlust
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Lothaire Bluteau,Sean Squire,Dean Winters,Kohl Sudduth,Michelle Hurd,Isabel Gillies,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Tom O'Rourke,Novella Nelson,Claire Lautier,Angie Harmon,George Martin,Al Sharpton,Frank Deal,John Elsen,Bill Mitchell,Leslie Hendrix,Julian Gamble,Rose Stockton,Lauren Stamile,Barbara Caruso,Michael Hobbs,Teri Lamm,Christopher Carley,Chris Orbach,Frank Anello,Jonah Falcon,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Professor James Henri Rousseau,Chuck Mosley,Brian Cassidy,Riley Couger,Monique Jeffries,Kathy Stabler,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Campus Security Officer Anthony Schlasser,Mrs. Mosley,Shelley Brown,Abbie Carmichael,Father McCourt,Reverend Al Sharpton,Don Newvine,Officer Weatherbee,Judge,Dr. Elizabeth Rodgers,Vargas,Mrs. Gallagher,Sarah,Dr. Sara Goodnall,Mr. Gallagher,Becky Underwood,Adam,Detective Ken Briscoe,NYPD Officer,Juror,Opening Announcer",Sophomore Jinx
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Stephen Bogardus,Jessica Hecht,Dean Winters,Michelle Hurd,Isabel Gillies,Ian Reed Kesler,Austin Lysy,Terry Beaver,Torquil Campbell,Steve Ryan,Randy Danson,Lisa Tharps,Adam Grupper,Erin Broderick,Holiday Segal,Patricia Cook,Jeffrey Scaperrotta,Mike Hodge,David S. Jung,James Coyle,Bill Mitchell,Camilla Enders,Myk Watford,Caren Browning,Ellen Horst,Jonathan Fried,Ryan Shively,Jerry Careccio,Dominick Charles Carbone,Joanna Wolff,Anthony Fortunato,Elaine Formicola,Angel Ramirez Jr.,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Bill Turbit,Miss Kreutzer,Brian Cassidy,Monique Jeffries,Kathy Stabler,Jimmy G,Mike D.,State Attorney General Morris Klein,Christopher James,Hank, the Bartender,Dr. Greenblatt,Prosecuting Attorney,Dr. Malloy,Maureen Stabler,Kathleen Stabler,Elizabeth Stabler,Dickie Stabler,Captain Lloral,Forensics Technician,Forensics Technician Assistant,Judge Connelly,Teacher,Terry Davies,Linda Davies,Girl Scout Mom,Angry Father,Policeman #1,First Boy in Park,Second Boy in Park,Girl Scout,Kid,Mrs. James,Hazmat,NYPD Officer,Opening Announcer",Uncivilized
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Bruce Kirkpatrick,Allison Mackie,Dean Winters,Michelle Hurd,Jack Hallett,Charles Brown,Sandra Shipley,Ben Lin,Linda Powell,Bruno Gunn,Nat DeWolf,Dominic Fumusa,Don Creech,Lorca Simons,Mark Alan Gordon,Joel Rooks,Chris Orbach,Barbara McCulloh,Michael Phelan,Santi Formosa,Adrienne Dreiss,Steve Routman,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Richard White,Kimberly Phillips,Brian Cassidy,Monique Jeffries,Barlow,Mr. Krim,Lila White,Mr. Tong,Armstrong,Kenneth Maggio,Mr. Cummings,Detective Lopez,Atkins,Joan Simon,Detective Carlyle,Grandfather,Detective Ken Briscoe,Mills,Boy,Flower Boy,Louise Billings,Harold Levin,NYPD Officer,Opening Announcer",Stalked
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Geoffrey Nauffts,V. Craig Heidenreich,Dean Winters,Lourdes Benedicto,Michelle Hurd,Maria Tucci,Christopher McCann,Francesca Faridany,Leslie Hendrix,P.J. Brown,David S. Jung,Jeannine Comeau,Nina Landey,Gordon Joseph Weiss,Danny Maseng,Sean Arbuckle,Monica Steuer,Sarah Zhang,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Frank Martin,Frederick Tucker,Brian Cassidy,Angela Torres /             Sho Ling-Fu,Monique Jeffries,Anne Briggs,David Kelp,Amy Tanner,Dr. Elizabeth Rodgers,Elijah,Tsumuru,Attendant,Doreet,David McKuin,Shaked,Medical Examiner,Anna Faust,Debbie Minh,NYPD Officer,Opening Announcer",Stocks & Bondage
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Tracy Pollan,Neil Maffin,Dean Winters,Michelle Hurd,Roger Bart,Olivia Birkelund,Michael Kell,Ross Gibby,Angie Harmon,Michael H. Ingram,Harriett D. Foy,Terry Serpico,Mary Sharmat,Liam Craig,Keskhemnu,Jerry D. O'Donnell,Evy O'Rourke,Simon Brooking,Christopher James Baker,Bruce Barney,Tommy Humphreys,Doris Belack,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Harper Anderson,Kenneth Cleary,Brian Cassidy,Monique Jeffries,Benjy Dowe,Jane Tyler,Sam Lardner,E.R. Doctor,Abbie Carmichael,Super,Admissions Nurse,Ron Johnson,Older Woman,Jeff McClintock,Detective Halligan,Uniform,Meredith Cleary,Number Five,Number Two,Number One,Number Three,Judge Margaret Barry,NYPD Officer,Opening Announcer",Closure
