date_published,episode,episode_name,rating_count,rating_value,season
1999-09-20, Episode 1,Payback,511,8.4,Season 1 
1999-09-27, Episode 2,A Single Life,366,8.2,Season 1 
1999-10-04, Episode 3,...Or Just Look Like One,330,7.9,Season 1 
1999-10-11, Episode 4,Hysteria,332,8.2,Season 1 
1999-10-18, Episode 5,Wanderlust,305,7.8,Season 1 
1999-10-25, Episode 6,Sophomore Jinx,295,8.0,Season 1 
1999-11-15, Episode 7,Uncivilized,302,8.4,Season 1 
1999-11-22, Episode 8,Stalked,288,8.2,Season 1 
1999-11-29, Episode 9,Stocks & Bondage,267,7.8,Season 1 
2000-01-07, Episode 10,Closure,318,8.3,Season 1 
2000-01-14, Episode 11,Bad Blood,267,8.1,Season 1 
2000-01-21, Episode 12,Russian Love Poem,282,7.5,Season 1 
2000-02-04, Episode 13,Disrobed,276,8.2,Season 1 
2000-02-11, Episode 14,Limitations,286,8.2,Season 1 
2000-02-18, Episode 15,Entitled,271,7.9,Season 1 
2000-02-25, Episode 16,The Third Guy,262,8.5,Season 1 
2000-03-31, Episode 17,Misleader,256,7.8,Season 1 
2000-04-14, Episode 18,Chat Room,271,7.8,Season 1 
2000-04-28, Episode 19,Contact,274,8.2,Season 1 
2000-05-05, Episode 20,Remorse,276,8.4,Season 1 
2000-05-12, Episode 21,Nocturne,273,8.5,Season 1 
2000-05-19, Episode 22,Slaves,292,8.3,Season 1 
2000-10-20, Episode 1,Wrong Is Right,303,8.2,Season 2 
2000-10-27, Episode 2,Honor,250,7.8,Season 2 
2000-11-03, Episode 3,Closure: Part 2,275,8.5,Season 2 
2000-11-10, Episode 4,Legacy,270,8.3,Season 2 
2000-11-17, Episode 5,Baby Killer,270,8.3,Season 2 
2000-11-24, Episode 6,Noncompliance,241,8.0,Season 2 
2000-12-01, Episode 7,Asunder,252,8.0,Season 2 
2000-12-15, Episode 8,Taken,275,8.3,Season 2 
2001-01-12, Episode 9,Pixies,261,7.7,Season 2 
2001-01-19, Episode 10,Consent,258,7.9,Season 2 
2001-01-26, Episode 11,Abuse,279,7.9,Season 2 
2001-02-02, Episode 12,Secrets,212,7.7,Season 2 
2001-02-09, Episode 13,Victims,235,8.0,Season 2 
2001-02-16, Episode 14,Paranoia,225,8.1,Season 2 
2001-02-23, Episode 15,Countdown,263,8.6,Season 2 
2001-03-02, Episode 16,Runaway,233,7.8,Season 2 
2001-03-23, Episode 17,Folly,237,7.9,Season 2 
2001-04-20, Episode 18,Manhunt,271,8.6,Season 2 
2001-04-27, Episode 19,Parasites,219,8.1,Season 2 
2001-05-04, Episode 20,Pique,290,8.5,Season 2 
2001-05-11, Episode 21,Scourge,272,8.3,Season 2 
2001-09-28, Episode 1,Repression,268,8.2,Season 3 
2001-10-05, Episode 2,Wrath,269,8.3,Season 3 
2001-10-12, Episode 3,Stolen,261,8.5,Season 3 
2001-10-19, Episode 4,Rooftop,222,8.2,Season 3 
2001-10-26, Episode 5,Tangled,223,8.2,Season 3 
2001-11-02, Episode 6,Redemption,233,8.2,Season 3 
2001-11-09, Episode 7,Sacrifice,248,8.2,Season 3 
2001-11-16, Episode 8,Inheritance,228,8.1,Season 3 
2001-11-23, Episode 9,Care,222,8.2,Season 3 
2001-12-14, Episode 10,Ridicule,304,8.6,Season 3 
2002-01-04, Episode 11,Monogamy,251,8.4,Season 3 
2002-01-11, Episode 12,Protection,206,7.8,Season 3 
2002-01-18, Episode 13,Prodigy,240,8.3,Season 3 
2002-01-25, Episode 14,Counterfeit,216,8.1,Season 3 
2002-02-01, Episode 15,Execution,251,8.3,Season 3 
2002-03-01, Episode 16,Popular,235,8.1,Season 3 
